c,k,s,t
0.23,1.8,1.881,0.00273972602739726
0.312,1.8,1.957,0.00273972602739726
0.369,1.8,2.01,0.00273972602739726
0.429,1.8,2.066,0.00273972602739726
0.4373,1.8,2.073,0.00273972602739726
0.6907,1.8,2.308,0.00273972602739726
0.18,1.85,1.881,0.00273972602739726
0.262,1.85,1.957,0.00273972602739726
0.302,1.85,1.995,0.00273972602739726
0.3195,1.85,2.01,0.00273972602739726
0.379,1.85,2.066,0.00273972602739726
0.3872,1.85,2.073,0.00273972602739726
0.4982,1.85,2.176,0.00273972602739726
0.6403,1.85,2.308,0.00273972602739726
0.1307,1.9,1.881,0.00273972602739726
0.212,1.9,1.957,0.00273972602739726
0.252,1.9,1.995,0.00273972602739726
0.269,1.9,2.01,0.00273972602739726
0.329,1.9,2.066,0.00273972602739726
0.3373,1.9,2.073,0.00273972602739726
0.4483,1.9,2.176,0.00273972602739726
0.5902,1.9,2.308,0.00273972602739726
0.381,1.908,2.168,0.00273972602739726
0.0199,1.95,1.748,0.00273972602739726
0.018,1.95,1.815,0.00273972602739726
0.08,1.95,1.881,0.00273972602739726
0.119,1.95,1.918,0.00273972602739726
0.162,1.95,1.957,0.00273972602739726
0.202,1.95,1.995,0.00273972602739726
0.219,1.95,2.01,0.00273972602739726
0.277,1.95,2.064,0.00273972602739726
0.279,1.95,2.066,0.00273972602739726
0.2872,1.95,2.073,0.00273972602739726
0.3983,1.95,2.176,0.00273972602739726
0.5403,1.95,2.308,0.00273972602739726
0.3355,1.957,2.168,0.00273972602739726
0.0057,2,1.748,0.00273972602739726
0.0044,2,1.815,0.00273972602739726
0.0336,2,1.881,0.00273972602739726
0.069,2,1.918,0.00273972602739726
0.112,2,1.957,0.00273972602739726
0.152,2,1.995,0.00273972602739726
0.169,2,2.01,0.00273972602739726
0.227,2,2.064,0.00273972602739726
0.229,2,2.066,0.00273972602739726
0.2372,2,2.073,0.00273972602739726
0.29,2,2.122,0.00273972602739726
0.3483,2,2.176,0.00273972602739726
0.4903,2,2.308,0.00273972602739726
0.2857,2.006,2.168,0.00273972602739726
0.0014,2.05,1.748,0.00273972602739726
0.0018,2.05,1.815,0.00273972602739726
0.005,2.05,1.881,0.00273972602739726
0.0196,2.05,1.918,0.00273972602739726
0.062,2.05,1.957,0.00273972602739726
0.102,2.05,1.995,0.00273972602739726
0.119,2.05,2.01,0.00273972602739726
0.177,2.05,2.064,0.00273972602739726
0.179,2.05,2.066,0.00273972602739726
0.1874,2.05,2.073,0.00273972602739726
0.24,2.05,2.122,0.00273972602739726
0.3005,2.05,2.176,0.00273972602739726
0.3943,2.05,2.265,0.00273972602739726
0.4404,2.05,2.308,0.00273972602739726
0.346,2.05,2.358,0.00273972602739726
0.642,2.05,2.649,0.00273972602739726
0.678,2.05,2.684,0.00273972602739726
0.869,2.05,2.872,0.00273972602739726
0.236,2.055,2.168,0.00273972602739726
0.298,2.055,2.229,0.00273972602739726
0.0005,2.1,1.748,0.00273972602739726
0.0006,2.1,1.815,0.00273972602739726
0.0005,2.1,1.881,0.00273972602739726
0.0003,2.1,1.918,0.00273972602739726
0.0144,2.1,1.957,0.00273972602739726
0.052,2.1,1.995,0.00273972602739726
0.069,2.1,2.01,0.00273972602739726
0.127,2.1,2.064,0.00273972602739726
0.129,2.1,2.066,0.00273972602739726
0.1376,2.1,2.073,0.00273972602739726
0.19,2.1,2.122,0.00273972602739726
0.219,2.1,2.149,0.00273972602739726
0.2497,2.1,2.176,0.00273972602739726
0.308,2.1,2.232,0.00273972602739726
0.192,2.1,2.255,0.00273972602739726
0.3444,2.1,2.265,0.00273972602739726
0.3904,2.1,2.308,0.00273972602739726
0.296,2.1,2.358,0.00273972602739726
0.592,2.1,2.649,0.00273972602739726
0.628,2.1,2.684,0.00273972602739726
0.819,2.1,2.872,0.00273972602739726
0.187,2.104,2.168,0.00273972602739726
0.249,2.104,2.229,0.00273972602739726
0.0002,2.15,1.748,0.00273972602739726
0.0002,2.15,1.815,0.00273972602739726
0.0001,2.15,1.881,0.00273972602739726
0.0001,2.15,1.918,0.00273972602739726
0.0005,2.15,1.957,0.00273972602739726
0.0089,2.15,1.995,0.00273972602739726
0.0248,2.15,2.01,0.00273972602739726
0.077,2.15,2.064,0.00273972602739726
0.079,2.15,2.066,0.00273972602739726
0.0896,2.15,2.073,0.00273972602739726
0.14,2.15,2.122,0.00273972602739726
0.169,2.15,2.149,0.00273972602739726
0.1982,2.15,2.176,0.00273972602739726
0.258,2.15,2.232,0.00273972602739726
0.142,2.15,2.255,0.00273972602739726
0.2943,2.15,2.265,0.00273972602739726
0.3405,2.15,2.308,0.00273972602739726
0.246,2.15,2.358,0.00273972602739726
0.542,2.15,2.649,0.00273972602739726
0.578,2.15,2.684,0.00273972602739726
0.769,2.15,2.872,0.00273972602739726
0.1367,2.153,2.168,0.00273972602739726
0.2,2.153,2.229,0.00273972602739726
0.411,2.153,2.429,0.00273972602739726
0.136,2.156,2.255,0.00273972602739726
0.536,2.156,2.649,0.00273972602739726
0.733,2.16,2.791,0.00273972602739726
0.0002,2.2,1.748,0.00273972602739726
0.0002,2.2,1.815,0.00273972602739726
0.0001,2.2,1.881,0.00273972602739726
0.0001,2.2,1.918,0.00273972602739726
0.0001,2.2,1.957,0.00273972602739726
0.0005,2.2,1.995,0.00273972602739726
0.004,2.2,2.01,0.00273972602739726
0.027,2.2,2.064,0.00273972602739726
0.0298,2.2,2.066,0.00273972602739726
0.0381,2.2,2.073,0.00273972602739726
0.09,2.2,2.122,0.00273972602739726
0.119,2.2,2.149,0.00273972602739726
0.091,2.2,2.168,0.00273972602739726
