r,k,s,t,c
0.0243,1.8,1.881,0.002739726,0.23
0.0243,1.8,1.957,0.002739726,0.312
0.0243,1.8,2.01,0.002739726,0.369
0.0243,1.8,2.066,0.002739726,0.429
0.0243,1.8,2.073,0.002739726,0.4373
0.0243,1.8,2.308,0.002739726,0.6907
0.0243,1.85,1.881,0.002739726,0.18
0.0243,1.85,1.957,0.002739726,0.262
0.0243,1.85,1.995,0.002739726,0.302
0.0243,1.85,2.01,0.002739726,0.3195
0.0243,1.85,2.066,0.002739726,0.379
0.0243,1.85,2.073,0.002739726,0.3872
0.0243,1.85,2.176,0.002739726,0.4982
0.0243,1.85,2.308,0.002739726,0.6403
0.0243,1.9,1.881,0.002739726,0.1307
0.0243,1.9,1.957,0.002739726,0.212
0.0243,1.9,1.995,0.002739726,0.252
0.0243,1.9,2.01,0.002739726,0.269
0.0243,1.9,2.066,0.002739726,0.329
0.0243,1.9,2.073,0.002739726,0.3373
0.0243,1.9,2.176,0.002739726,0.4483
0.0243,1.9,2.308,0.002739726,0.5902
0.0243,1.908,2.168,0.002739726,0.381
0.0243,1.95,1.748,0.002739726,0.0199
0.0243,1.95,1.815,0.002739726,0.018
0.0243,1.95,1.881,0.002739726,0.08
0.0243,1.95,1.918,0.002739726,0.119
0.0243,1.95,1.957,0.002739726,0.162
0.0243,1.95,1.995,0.002739726,0.202
0.0243,1.95,2.01,0.002739726,0.219
0.0243,1.95,2.064,0.002739726,0.277
0.0243,1.95,2.066,0.002739726,0.279
0.0243,1.95,2.073,0.002739726,0.2872
0.0243,1.95,2.176,0.002739726,0.3983
0.0243,1.95,2.308,0.002739726,0.5403
0.0243,1.957,2.168,0.002739726,0.3355
0.0243,2,1.748,0.002739726,0.0057
0.0243,2,1.815,0.002739726,0.0044
0.0243,2,1.881,0.002739726,0.0336
0.0243,2,1.918,0.002739726,0.069
0.0243,2,1.957,0.002739726,0.112
0.0243,2,1.995,0.002739726,0.152
0.0243,2,2.01,0.002739726,0.169
0.0243,2,2.064,0.002739726,0.227
0.0243,2,2.066,0.002739726,0.229
0.0243,2,2.073,0.002739726,0.2372
0.0243,2,2.122,0.002739726,0.29
0.0243,2,2.176,0.002739726,0.3483
0.0243,2,2.308,0.002739726,0.4903
0.0243,2.006,2.168,0.002739726,0.2857
0.0243,2.05,1.748,0.002739726,0.0014
0.0243,2.05,1.815,0.002739726,0.0018
0.0243,2.05,1.881,0.002739726,0.005
0.0243,2.05,1.918,0.002739726,0.0196
0.0243,2.05,1.957,0.002739726,0.062
0.0243,2.05,1.995,0.002739726,0.102
0.0243,2.05,2.01,0.002739726,0.119
0.0243,2.05,2.064,0.002739726,0.177
0.0243,2.05,2.066,0.002739726,0.179
0.0243,2.05,2.073,0.002739726,0.1874
0.0243,2.05,2.122,0.002739726,0.24
0.0243,2.05,2.176,0.002739726,0.3005
0.0243,2.05,2.265,0.002739726,0.3943
0.0243,2.05,2.308,0.002739726,0.4404
0.0243,2.05,2.358,0.002739726,0.346
0.0243,2.05,2.649,0.002739726,0.642
0.0243,2.05,2.684,0.002739726,0.678
0.0243,2.05,2.872,0.002739726,0.869
0.0243,2.055,2.168,0.002739726,0.236
0.0243,2.055,2.229,0.002739726,0.298
0.0243,2.1,1.748,0.002739726,0.0005
0.0243,2.1,1.815,0.002739726,0.0006
0.0243,2.1,1.881,0.002739726,0.0005
0.0243,2.1,1.918,0.002739726,0.0003
0.0243,2.1,1.957,0.002739726,0.0144
0.0243,2.1,1.995,0.002739726,0.052
0.0243,2.1,2.01,0.002739726,0.069
0.0243,2.1,2.064,0.002739726,0.127
0.0243,2.1,2.066,0.002739726,0.129
0.0243,2.1,2.073,0.002739726,0.1376
0.0243,2.1,2.122,0.002739726,0.19
0.0243,2.1,2.149,0.002739726,0.219
0.0243,2.1,2.176,0.002739726,0.2497
0.0243,2.1,2.232,0.002739726,0.308
0.0243,2.1,2.255,0.002739726,0.192
0.0243,2.1,2.265,0.002739726,0.3444
0.0243,2.1,2.308,0.002739726,0.3904
0.0243,2.1,2.358,0.002739726,0.296
0.0243,2.1,2.649,0.002739726,0.592
0.0243,2.1,2.684,0.002739726,0.628
0.0243,2.1,2.872,0.002739726,0.819
0.0243,2.104,2.168,0.002739726,0.187
0.0243,2.104,2.229,0.002739726,0.249
0.0243,2.15,1.748,0.002739726,0.0002
0.0243,2.15,1.815,0.002739726,0.0002
0.0243,2.15,1.881,0.002739726,0.0001
0.0243,2.15,1.918,0.002739726,0.0001
0.0243,2.15,1.957,0.002739726,0.0005
0.0243,2.15,1.995,0.002739726,0.0089
0.0243,2.15,2.01,0.002739726,0.0248
0.0243,2.15,2.064,0.002739726,0.077
0.0243,2.15,2.066,0.002739726,0.079
0.0243,2.15,2.073,0.002739726,0.0896
0.0243,2.15,2.122,0.002739726,0.14
0.0243,2.15,2.149,0.002739726,0.169
0.0243,2.15,2.176,0.002739726,0.1982
0.0243,2.15,2.232,0.002739726,0.258
0.0243,2.15,2.255,0.002739726,0.142
0.0243,2.15,2.265,0.002739726,0.2943
0.0243,2.15,2.308,0.002739726,0.3405
0.0243,2.15,2.358,0.002739726,0.246
0.0243,2.15,2.649,0.002739726,0.542
0.0243,2.15,2.684,0.002739726,0.578
0.0243,2.15,2.872,0.002739726,0.769
0.0243,2.153,2.168,0.002739726,0.1367
0.0243,2.153,2.229,0.002739726,0.2
0.0243,2.153,2.429,0.002739726,0.411
0.0243,2.156,2.255,0.002739726,0.136
0.0243,2.156,2.649,0.002739726,0.536
0.0243,2.16,2.791,0.002739726,0.733
0.0243,2.2,1.748,0.002739726,0.0002
0.0243,2.2,1.815,0.002739726,0.0002
0.0243,2.2,1.881,0.002739726,0.0001
0.0243,2.2,1.918,0.002739726,0.0001
0.0243,2.2,1.957,0.002739726,0.0001
0.0243,2.2,1.995,0.002739726,0.0005
0.0243,2.2,2.01,0.002739726,0.004
0.0243,2.2,2.064,0.002739726,0.027
0.0243,2.2,2.066,0.002739726,0.0298
0.0243,2.2,2.073,0.002739726,0.0381
0.0243,2.2,2.122,0.002739726,0.09
0.0243,2.2,2.149,0.002739726,0.119
0.0243,2.2,2.168,0.002739726,0.091
0.0243,2.2,2.176,0.002739726,0.1483
0.0243,2.2,2.218,0.002739726,0.142
0.0243,2.2,2.229,0.002739726,0.153
0.0243,2.2,2.23,0.002739726,0.154
0.0243,2.2,2.232,0.002739726,0.208
0.0243,2.2,2.255,0.002739726,0.092
0.0243,2.2,2.265,0.002739726,0.2443
0.0243,2.2,2.267,0.002739726,0.193
0.0243,2.2,2.276,0.002739726,0.203
0.0243,2.2,2.308,0.002739726,0.2902
0.0243,2.2,2.353,0.002739726,0.239
0.0243,2.2,2.358,0.002739726,0.196
0.0243,2.2,2.408,0.002739726,0.2966
